VideoFrameRate,NR,QP,VideoPacketLossRate,AudioPacketLossRate,VideoStartPTS,VideoDurationTS,VideoBitRate,VideoNBFrames,AudioDurationTS,AudioDuration,AudioBitRate,AudioNBFrames,BPP,ISC,CC,iFrameCount,iFrame0Size,iFrame1Size,iFrame2Size,iFrame3Size,iFrame4Size,pFrameCount,aFrameCount,iFrameCountDiff,iFrame0SizeDiff,iFrame1SizeDiff,iFrame2SizeDiff,iFrame3SizeDiff,iFrame4SizeDiff,pFrameCountDiff,DTS0pFrameCountDiff,DTS1pFrameCountDiff,DTS2pFrameCountDiff,DTS3pFrameCountDiff,DTS4pFrameCountDiff,DTS5pFrameCountDiff,DTS6pFrameCountDiff,DTS7pFrameCountDiff,DTS8pFrameCountDiff,DTS9pFrameCountDiff,DTS10pFrameCountDiff,DTS11pFrameCountDiff,DTS12pFrameCountDiff,DTS13pFrameCountDiff,DTS14pFrameCountDiff,DTS15pFrameCountDiff,DTS16pFrameCountDiff,DTS17pFrameCountDiff,DTS18pFrameCountDiff,DTS19pFrameCountDiff,DTS20pFrameCountDiff,DTS21pFrameCountDiff,DTS22pFrameCountDiff,DTS23pFrameCountDiff,DTS24pFrameCountDiff,DTS25pFrameCountDiff,DTS26pFrameCountDiff,DTS27pFrameCountDiff,DTS28pFrameCountDiff,DTS29pFrameCountDiff,DTS30pFrameCountDiff,DTS0pFrameMeanDiff,DTS1pFrameMeanDiff,DTS2pFrameMeanDiff,DTS3pFrameMeanDiff,DTS4pFrameMeanDiff,DTS5pFrameMeanDiff,DTS6pFrameMeanDiff,DTS7pFrameMeanDiff,DTS8pFrameMeanDiff,DTS9pFrameMeanDiff,DTS10pFrameMeanDiff,DTS11pFrameMeanDiff,DTS12pFrameMeanDiff,DTS13pFrameMeanDiff,DTS14pFrameMeanDiff,DTS15pFrameMeanDiff,DTS16pFrameMeanDiff,DTS17pFrameMeanDiff,DTS18pFrameMeanDiff,DTS19pFrameMeanDiff,DTS20pFrameMeanDiff,DTS21pFrameMeanDiff,DTS22pFrameMeanDiff,DTS23pFrameMeanDiff,DTS24pFrameMeanDiff,DTS25pFrameMeanDiff,DTS26pFrameMeanDiff,DTS27pFrameMeanDiff,DTS28pFrameMeanDiff,DTS29pFrameMeanDiff,DTS30pFrameMeanDiff,aFrameCountDiff,DTS0aFrameCountDiff,DTS1aFrameCountDiff,DTS2aFrameCountDiff,DTS3aFrameCountDiff,DTS4aFrameCountDiff,DTS5aFrameCountDiff,DTS6aFrameCountDiff,DTS7aFrameCountDiff,DTS8aFrameCountDiff,DTS9aFrameCountDiff,DTS10aFrameCountDiff,DTS11aFrameCountDiff,DTS12aFrameCountDiff,DTS13aFrameCountDiff,DTS14aFrameCountDiff,DTS15aFrameCountDiff,DTS16aFrameCountDiff,DTS17aFrameCountDiff,DTS18aFrameCountDiff,DTS19aFrameCountDiff,DTS20aFrameCountDiff,DTS21aFrameCountDiff,DTS22aFrameCountDiff,DTS23aFrameCountDiff,DTS24aFrameCountDiff,DTS25aFrameCountDiff,DTS26aFrameCountDiff,DTS27aFrameCountDiff,DTS28aFrameCountDiff,DTS29aFrameCountDiff,DTS30aFrameCountDiff,MOS
10,0,23,0.04,0.09,8,42886,505020,429,686280,42.8925,24381,2143,0.054798177,69884.25,0.131875208,5,69843,68883,69845,70345,70464,424,2143,0,0.054378157,0.05513559,0.054376601,0.05399031,0.05389918,0.235294118,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,20,-11.11111111,0,0.890420463,-1.019702453,-0.569419687,0.267300851,-0.149649819,-0.985261953,2.527283171,-5.375524209,2.116999492,2.244865669,1.393177607,-0.856286303,-7.34912061,3.735023576,2.655600133,-0.67811194,-4.845758561,2.252874253,-0.227348342,-0.15166254,1.245588977,1.242376327,0.914311969,-0.996695307,-3.951640465,-2.036276523,2.055358112,0.493190785,-0.743700115,-0.376462672,-0.81799184,0.093240093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4.103448276
10,0,23,0.46,0.42,8,42885,485598,423,686271,42.891937,24302,2136,0.052690755,69730.66667,0.132165666,4,69843,68883,69845,0,70464,403,2136,20,0.054378157,0.05513559,0.054376601,100,0.05389918,5.176470588,0,0,0,30,100,20,0,0,10,-11.11111111,0,0,10,0,0,0,0,0,20,-11.11111111,0,10,0,0,0,0,0,0,10,11.11111111,10,0.890420463,-1.019702453,-0.569419687,-1.116654921,100,0.68426647,2.527283171,-5.375524209,2.116999492,2.244865669,1.393177607,-0.856286303,-0.445042542,3.725747855,2.655600133,-0.67811194,-4.845758561,2.252874253,1.923103582,-0.15166254,1.258191901,3.637687012,0.914311969,-0.996695307,-3.951640465,-2.036276523,2.055358112,0.493190785,-0.579353185,-7.837909828,-3.032916487,0.41958042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,0,0,2,0,0,2,2.814814815
10,0,23,0,0,9,42883,506118,430,686269,42.891813,24404,2145,0.054917318,69884.25,0.131875208,5,69843,68883,69845,70345,70464,425,2145,0,0.054378157,0.05513559,0.054376601,0.05399031,0.05389918,0,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,0.890420463,-1.019702453,-0.569419687,0.267300851,-0.149649819,-0.985261953,2.527283171,-5.375524209,2.116999492,2.244865669,1.393177607,-0.856286303,-7.34912061,3.735023576,2.655600133,-0.67811194,-4.845758561,2.252874253,-0.227348342,-0.15166254,1.245588977,1.242376327,0.914311969,-0.996695307,-3.951640465,-2.036276523,2.055358112,0.493190785,-0.579353185,-0.376462672,-0.81799184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.103448276
10,0,23,1.23,0.98,9,42883,455458,405,686260,42.89125,24166,2124,0.049420356,69364,0.13286431,3,69843,68883,69845,0,0,398,2124,40,0.054378157,0.05513559,0.054376601,100,100,6.352941176,0,20,10,10,0,0,20,10,10,0,20,10,0,0,0,0,0,0,20,-11.11111111,10,0,10,0,0,20,10,0,10,11.11111111,0,0.904297146,-0.808202654,-0.79186931,-0.659298423,-0.149649819,-0.985261953,1.821613194,-5.190633885,2.116999492,1.827473814,1.165219603,-0.620406804,-7.34912061,3.735023576,2.655600133,-0.67811194,-4.845758561,2.252874253,-3.245952091,-0.15166254,0.803319704,1.254697415,-1.146080609,-1.012557832,-3.938824334,-0.810660507,0.525413805,0.493190785,-0.579353185,-7.837909828,-0.81799184,0.979020979,0,4,0,0,2,2,0,2,2,0,0,2,0,0,0,2,4,0,0,0,2,2,4,0,0,0,2,0,2,0,0,1.732142857
10,0,23,4.2,5.46,9,42885,383152,348,686268,42.89175,23073,2028,0.041574653,70153.5,0.131369069,2,69843,0,0,0,70464,284,2028,60,0.054378157,100,100,100,0.05389918,33.17647059,30,20,20,20,20,20,50,100,40,33.33333333,20,20,10,20,20,20,10,100,50,22.22222222,10,20,20,20,10,70,90,100,50,22.22222222,0,0.937006469,-2.683956574,0.042087542,-0.461388785,-1.891573718,-1.717565054,3.450397965,100,0.053846555,5.989525648,3.126929923,0.070264193,-6.511161368,6.29203061,0.849773639,7.981131689,-1.257019262,100,15.11034712,-2.477386427,0.943352191,1.821467442,3.173099012,-2.475214805,-7.190324296,4.009810632,11.02785413,100,-1.756648426,-7.441666711,-0.81799184,5.454545455,6,8,6,6,6,2,0,10,6,6,6,0,2,2,2,8,0,12,14,2,6,16,6,4,12,4,4,4,2,4,4,1.15
10,999,23,0,0.19,9,42883,398238,430,686263,42.891438,24359,2141,0.043211589,69884.25,0.131875208,5,69845,68883,69845,70345,70464,425,2141,0,0.054376601,0.05513559,0.054376601,0.05399031,0.05389918,0,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,0.254572056,-0.556963085,-1.144417859,0.379220779,-0.005103473,-0.540976358,2.31825223,-4.156891915,1.687456083,1.717234572,2.150643229,-1.52851264,-5.9950337,3.194473087,1.849911909,-0.038554465,-3.91198044,1.518226679,-0.145670176,-0.1233496,1.247514504,0.781952429,1.051109839,-1.48057593,-2.86860753,-1.69361047,0.820045558,1.019332918,-0.912728469,-0.053474561,-0.990740491,0.186480186,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,3.948275862
10,999,23,0.55,0.51,9,42882,378130,420,686245,42.890313,24280,2134,0.041029731,69897.33333,0.131850524,4,69845,68883,0,70345,70464,397,2134,20,0.054376601,0.05513559,100,0.05399031,0.05389918,6.588235294,0,0,0,0,0,0,10,0,10,-11.11111111,0,0,0,0,10,0,0,10,10,22.22222222,10,0,0,0,0,0,0,0,50,-11.11111111,10,0.254572056,-0.556963085,-1.144417859,0.379220779,-0.005103473,-0.540976358,1.851159423,-4.156891915,1.687456083,1.717234572,2.150643229,-1.52851264,-5.9950337,3.194473087,1.52320789,-0.038554465,-3.91198044,2.837472143,-0.145670176,-3.423764045,0.259369221,0.765604991,1.051109839,-1.48057593,-2.86860753,-1.69361047,0.820045558,1.019332918,-0.902017489,-0.039591742,-0.318848665,0.512820513,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,3.208333333
10,999,23,0,0,7,42886,398211,430,686288,42.893,24403,2145,0.043208659,69884.25,0.131875208,5,69845,68883,69845,70345,70464,425,2145,0,0.054376601,0.05513559,0.054376601,0.05399031,0.05389918,0,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,0,0,0,0,0,0,0,10,-11.11111111,0,0.254572056,-0.556963085,-1.144417859,0.379220779,-0.005103473,-0.540976358,2.31825223,-4.156891915,1.687456083,1.717234572,2.150643229,-1.52851264,-5.9950337,3.194473087,1.849911909,-0.038554465,-3.91198044,1.518226679,-0.145670176,-0.1233496,1.247514504,0.781952429,1.051109839,-1.48057593,-2.86860753,-1.69361047,0.820045558,1.019332918,-0.912728469,-0.053474561,-0.990740491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8
10,999,23,0.83,1.21,8,42884,373808,416,686254,42.890875,24109,2119,0.040560764,69691,0.132240892,4,69845,68883,69845,70345,0,342,2119,20,0.054376601,0.05513559,0.054376601,0.05399031,100,19.52941176,0,0,90,60,0,0,10,10,30,-11.11111111,0,0,0,30,100,20,0,0,20,-11.11111111,50,100,0,0,0,70,80,0,10,-11.11111111,0,0.254572056,-0.556963085,-3.832784073,1.746753247,-0.005103473,-0.540976358,1.851159423,-0.328685956,-0.735648736,1.717234572,2.150643229,-1.52851264,-5.9950337,6.837934184,100,1.021050738,-3.91198044,1.518226679,0.193780481,-0.1233496,-5.728216163,100,1.051109839,-1.48057593,-2.86860753,7.870078771,2.972665148,1.019332918,-0.912728469,-0.053474561,-0.974543099,1.212121212,0,4,0,0,0,0,2,2,0,0,0,2,0,0,2,0,2,0,0,0,2,2,2,0,0,0,0,0,2,0,0,2
10,999,23,5.28,4.71,9,42884,280369,343,686284,42.89275,23255,2044,0.030421984,69845,0.131949316,1,69845,0,0,0,0,285,2044,80,0.054376601,100,100,100,100,32.94117647,10,20,0,20,0,20,40,100,40,11.11111111,0,30,20,30,10,20,10,40,60,100,50,10,90,60,20,30,0,40,20,55.55555556,10,1.422417297,0.599886932,-1.144417859,-0.876623377,0.010206946,-3.474732763,1.242811103,100,-0.577718606,0.388110463,2.150643229,2.091906722,-5.451105593,1.305129187,-0.233322223,7.090166041,-1.119070428,-1.941393399,-9.870751201,100,3.941383161,-0.252174361,-7.038520616,-8.683102418,-5.402828766,-1.06342208,0.833712984,2.97699691,-0.464206202,-5.844923773,-0.336845768,4.708624709,6,4,4,2,6,6,6,8,0,4,6,6,2,2,6,4,4,10,8,4,2,2,10,10,2,2,6,4,4,2,12,1.25
