GeneralFileSize,GeneralDuration,GeneralOverallBitRate,GeneralFrameRate,GeneralFrameCount,GeneralStreamSize,GeneralStreamSizeProportion,GeneralDataSize,GeneralFooterSize,VideoDuration,VideoSourceDuration,VideoBitRate,VideoFrameRate,VideoFrameCount,VideoBits(Pixel*Frame),VideoStreamSize,VideoStreamSizeProportion,NR,KeyInt,KeyIntMin,QP,AudioDuration,AudioBitRate,AudioFrameCount,AudioStreamSize,AudioStreamSizeProportion,VideoOctetsReceived,VideoPacketsreceived,VideoPacketsLost,VideoPacketLossRate,AudioOctetsReceived,AudioPacketsReceived,AudioPacketsLost,AudioPacketLossRate,MOS
2894214,42894,539789,10,429,56204,0.01942,2838018,56168,42894,42886,504855,10,429,0.055,2707287,0.93541,0,100,10,23,42892,24382,2143,130723,0.04517,2713422,2596,1,0.04,132804,2142,2,0.09,4.10344827586
2789506,42893,520272,10,423,56096,0.02011,2733418,56060,42893,42885,492315,10,423,0.053,2603114,0.93318,0,100,10,23,42891,24303,2136,130296,0.04671,2704487,2585,12,0.46,132370,2135,9,0.42,2.81481481481
2901312,42892,541138,10,430,57484,0.01981,2843836,57448,42892,42883,504741,10,430,0.055,2712983,0.93509,0,100,10,23,42891,24405,2145,130845,0.0451,2713571,2597,0,0.0,132928,2144,0,0.0,4.10344827586
2627715,42892,490108,10,405,56724,0.02159,2570999,56688,42892,42883,482257,10,405,0.052,2441427,0.92911,0,100,10,23,42891,24166,2124,129564,0.04931,2678988,2565,32,1.23,131626,2123,21,0.98,1.73214285714
2230375,42894,415979,10,348,52728,0.02364,2177655,52692,42894,42885,472170,10,348,0.051,2053939,0.92089,0,100,10,23,42891,23074,2028,123708,0.05547,2592686,2484,109,4.2,125674,2027,117,5.46,1.15
2319611,42892,432642,10,430,54300,0.02341,2265319,54264,42892,42883,397155,10,430,0.043,2134710,0.92029,999,100,10,23,42891,24360,2141,130601,0.0563,2134458,2177,0,0.0,132680,2140,4,0.19,3.94827586207
2211225,42891,412436,10,420,54176,0.0245,2157057,54140,42891,42882,386071,10,420,0.042,2026875,0.91663,999,100,10,23,42890,24281,2134,130174,0.05887,2121162,2165,12,0.55,132246,2133,11,0.51,3.20833333333
2321591,42893,433001,10,430,56036,0.02414,2265563,56000,42893,42886,397155,10,430,0.043,2134710,0.9195,999,100,10,23,42893,24404,2145,130845,0.05636,2134458,2177,0,0.0,132928,2144,0,0.0,3.8
2187573,42892,408015,10,416,54512,0.02492,2133069,54476,42892,42884,385347,10,416,0.042,2003802,0.91599,999,100,10,23,42890,24110,2119,129259,0.05909,2115815,2159,18,0.83,131316,2118,26,1.21,2.0
1680967,42893,313518,10,343,53364,0.03175,1627611,53328,42893,42884,350535,10,343,0.038,1502919,0.89408,999,100,10,23,42892,23255,2044,124684,0.07417,2012547,2062,115,5.28,126666,2043,101,4.71,1.25
1411254,42893,263214,10,429,56860,0.04029,1354402,56824,42893,42886,228168,10,429,0.025,1223549,0.86699,0,100,10,27,42892,24405,2145,130845,0.09272,1222834,1540,2,0.13,132928,2144,0,0.0,3.18965517241
1351522,42892,252079,10,423,56240,0.04161,1295290,56204,42892,42884,220294,10,423,0.024,1164803,0.86185,0,100,10,27,42891,24337,2139,130479,0.09654,1217793,1532,10,0.65,132556,2138,6,0.28,2.61111111111
1412598,42893,263465,10,430,55988,0.03963,1356618,55952,42893,42885,228049,10,430,0.025,1225765,0.86774,0,100,10,27,42893,24404,2145,130845,0.09263,1224224,1542,0,0.0,132928,2144,0,0.0,3.48275862069
1397863,42891,260728,10,425,55980,0.04005,1341891,55944,42891,42883,228155,10,425,0.025,1212075,0.86709,0,100,10,27,42891,24212,2128,129808,0.09286,1218510,1529,13,0.84,131874,2127,17,0.79,2.24137931034
