@relation QoSAndQoECorrelation

@attribute VideoFrameRate numeric
@attribute NR numeric
@attribute QP numeric
@attribute VideoPacketLossRate numeric
@attribute AudioPacketLossRate numeric
@attribute MOS numeric

@data
10,0,23,0.04,0.09,4.10344827586
10,0,23,0.46,0.42,2.81481481481
10,0,23,0.0,0.0,4.10344827586
10,0,23,1.23,0.98,1.73214285714
10,0,23,4.2,5.46,1.15
10,999,23,0.0,0.19,3.94827586207
10,999,23,0.55,0.51,3.20833333333
10,999,23,0.0,0.0,3.8
10,999,23,0.83,1.21,2.0
10,999,23,5.28,4.71,1.25
10,0,27,0.13,0.0,3.18965517241
10,0,27,0.65,0.28,2.61111111111
10,0,27,0.0,0.0,3.48275862069
10,0,27,0.84,0.79,2.24137931034
10,0,27,4.8,4.85,1.25
10,999,27,0.14,0.14,2.39285714286
10,999,27,0.35,0.56,2.27777777778
10,999,27,0.0,0.0,3.5
10,999,27,0.97,1.03,2.39130434783
10,999,27,4.57,4.99,1.55
10,0,31,0.0,0.09,3.24137931034
10,0,31,0.37,0.37,3.15
10,0,31,0.0,0.0,3.36206896552
10,0,31,0.73,0.93,3.3275862069
10,0,31,5.67,4.48,1.56666666667
10,999,31,0.28,0.23,2.85
10,999,31,0.57,0.65,2.25
10,999,31,0.0,0.0,3.1724137931
10,999,31,0.76,0.75,2.53333333333
10,999,31,3.89,4.57,1.70689655172
10,0,35,0.0,0.09,3.0
10,0,35,0.32,0.47,3.03448275862
10,0,35,0.0,0.0,2.875
10,0,35,0.74,0.98,2.35
10,0,35,4.25,4.24,1.46551724138
10,999,35,0.21,0.05,2.95
10,999,35,0.64,0.65,2.38888888889
10,999,35,0.0,0.0,2.85
10,999,35,0.96,1.21,2.8275862069
10,999,35,5.85,4.62,1.71666666667
15,0,23,0.11,0.14,2.32142857143
15,0,23,0.62,0.7,2.73076923077
15,0,23,0.0,0.0,4.53571428571
15,0,23,0.74,0.89,2.23214285714
15,0,23,5.66,4.99,1.16666666667
15,999,23,0.0,0.19,4.38888888889
15,999,23,0.34,0.61,3.19642857143
15,999,23,0.0,0.0,4.26666666667
15,999,23,1.14,1.17,2.64
15,999,23,4.64,5.04,1.1724137931
15,0,27,0.0,0.09,4.12068965517
15,0,27,0.57,0.56,3.88461538462
15,0,27,0.0,0.0,4.21428571429
15,0,27,1.42,0.79,1.85
15,0,27,5.75,4.15,1.27586206897
15,999,27,0.0,0.14,4.05
15,999,27,0.1,0.19,4.07692307692
15,999,27,0.0,0.0,3.93103448276
15,999,27,1.06,0.65,2.26785714286
15,999,27,4.04,5.09,1.6724137931
15,0,31,0.13,0.05,3.48275862069
15,0,31,0.33,0.7,3.40740740741
15,0,31,0.0,0.0,3.66071428571
15,0,31,1.14,0.84,3.36206896552
15,0,31,4.34,5.04,1.58333333333
15,999,31,0.27,0.09,3.21666666667
15,999,31,0.48,0.79,3.31034482759
15,999,31,0.0,0.0,3.57142857143
15,999,31,1.02,0.84,2.41379310345
15,999,31,4.64,4.85,2.03703703704
15,0,35,0.22,0.09,3.22413793103
15,0,35,0.29,0.28,3.01666666667
15,0,35,0.0,0.0,3.18965517241
15,0,35,1.39,0.89,3.0
15,0,35,4.4,4.01,1.25
15,999,35,0.29,0.05,2.79310344828
15,999,35,0.66,0.47,3.05172413793
15,999,35,0.0,0.0,3.2
15,999,35,0.81,0.98,2.85185185185
15,999,35,4.92,4.85,1.45
20,0,23,0.07,0.19,4.46428571429
20,0,23,0.5,0.65,2.69230769231
20,0,23,0.0,0.0,4.28571428571
20,0,23,0.94,0.61,2.37037037037
20,0,23,5.33,4.76,1.21666666667
20,999,23,0.08,0.14,4.5
20,999,23,0.49,0.33,3.39655172414
20,999,23,0.0,0.0,4.55555555556
20,999,23,0.94,0.51,2.48275862069
20,999,23,4.99,5.64,1.38333333333
20,0,27,0.08,0.14,4.39285714286
20,0,27,0.54,0.51,2.77083333333
20,0,27,0.0,0.0,4.18518518519
20,0,27,1.15,0.7,2.35185185185
20,0,27,4.55,4.66,1.31034482759
20,999,27,0.04,0.14,4.28571428571
20,999,27,0.46,0.28,3.08928571429
20,999,27,0.0,0.0,4.07142857143
20,999,27,0.87,0.89,3.6724137931
20,999,27,5.25,4.38,1.23333333333
20,0,31,0.05,0.09,3.62068965517
20,0,31,0.47,0.7,3.48333333333
20,0,31,0.0,0.0,3.68965517241
20,0,31,0.89,0.93,3.15517241379
20,0,31,4.67,4.24,1.53448275862
20,999,31,0.16,0.0,3.70689655172
20,999,31,0.43,0.75,3.37931034483
20,999,31,0.0,0.0,3.60714285714
20,999,31,0.96,1.31,3.27586206897
20,999,31,4.62,4.71,1.37931034483
20,0,35,0.11,0.05,3.08620689655
20,0,35,0.61,0.23,2.40384615385
20,0,35,0.0,0.0,3.15517241379
20,0,35,0.95,0.75,2.73214285714
20,0,35,4.63,4.8,1.38333333333
20,999,35,0.11,0.05,3.21666666667
20,999,35,0.45,0.51,3.10344827586
20,999,35,0.0,0.0,3.14285714286
20,999,35,0.89,0.79,3.03333333333
20,999,35,4.91,4.94,2.23333333333
25,0,23,0.12,0.05,4.53448275862
25,0,23,0.5,0.42,2.32
25,0,23,0.0,0.0,4.58620689655
