GeneralFileName,VideoOctetsReceived,VideoPacketsreceived,VideoPacketsLost,VideoPacketLossRate,AudioOctetsReceived,AudioPacketsReceived,AudioPacketsLost,AudioPacketLossRate
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q23_nr0_plr0.1_amrwb_m08,2713422,2596,1,0.04,132804,2142,2,0.09
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q23_nr0_plr0.5_amrwb_m08,2704487,2585,12,0.46,132370,2135,9,0.42
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q23_nr0_plr0_amrwb_m08,2713571,2597,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q23_nr0_plr1_amrwb_m08,2678988,2565,32,1.23,131626,2123,21,0.98
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q23_nr0_plr5_amrwb_m08,2592686,2484,109,4.2,125674,2027,117,5.46
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q23_nr999_plr0.1_amrwb_m08,2134458,2177,0,0.0,132680,2140,4,0.19
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q23_nr999_plr0.5_amrwb_m08,2121162,2165,12,0.55,132246,2133,11,0.51
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q23_nr999_plr0_amrwb_m08,2134458,2177,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q23_nr999_plr1_amrwb_m08,2115815,2159,18,0.83,131316,2118,26,1.21
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q23_nr999_plr5_amrwb_m08,2012547,2062,115,5.28,126666,2043,101,4.71
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q27_nr0_plr0.1_amrwb_m08,1222834,1540,2,0.13,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q27_nr0_plr0.5_amrwb_m08,1217793,1532,10,0.65,132556,2138,6,0.28
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q27_nr0_plr0_amrwb_m08,1224224,1542,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q27_nr0_plr1_amrwb_m08,1218510,1529,13,0.84,131874,2127,17,0.79
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q27_nr0_plr5_amrwb_m08,1163447,1468,74,4.8,126480,2040,104,4.85
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q27_nr999_plr0.1_amrwb_m08,1070375,1443,2,0.14,132742,2141,3,0.14
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q27_nr999_plr0.5_amrwb_m08,1066801,1440,5,0.35,132184,2132,12,0.56
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q27_nr999_plr0_amrwb_m08,1072220,1445,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q27_nr999_plr1_amrwb_m08,1061701,1431,14,0.97,131564,2122,22,1.03
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q27_nr999_plr5_amrwb_m08,1033252,1379,66,4.57,126294,2037,107,4.99
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q31_nr0_plr0.1_amrwb_m08,674516,1094,0,0.0,132804,2142,2,0.09
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q31_nr0_plr0.5_amrwb_m08,671468,1090,4,0.37,132432,2136,8,0.37
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q31_nr0_plr0_amrwb_m08,674516,1094,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q31_nr0_plr1_amrwb_m08,673114,1086,8,0.73,131688,2124,20,0.93
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q31_nr0_plr5_amrwb_m08,637215,1032,62,5.67,126976,2048,96,4.48
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q31_nr999_plr0.1_amrwb_m08,639581,1050,3,0.28,132618,2139,5,0.23
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q31_nr999_plr0.5_amrwb_m08,640593,1047,6,0.57,132060,2130,14,0.65
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q31_nr999_plr0_amrwb_m08,641007,1053,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q31_nr999_plr1_amrwb_m08,635163,1045,8,0.76,131936,2128,16,0.75
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q31_nr999_plr5_amrwb_m08,614208,1012,41,3.89,126852,2046,98,4.57
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q35_nr0_plr0.1_amrwb_m08,412256,941,0,0.0,132804,2142,2,0.09
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q35_nr0_plr0.5_amrwb_m08,410994,938,3,0.32,132308,2134,10,0.47
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q35_nr0_plr0_amrwb_m08,412256,941,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q35_nr0_plr1_amrwb_m08,408501,934,7,0.74,131626,2123,21,0.98
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q35_nr0_plr5_amrwb_m08,394492,901,40,4.25,127286,2053,91,4.24
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q35_nr999_plr0.1_amrwb_m08,405463,938,2,0.21,132866,2143,1,0.05
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q35_nr999_plr0.5_amrwb_m08,403571,934,6,0.64,132060,2130,14,0.65
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q35_nr999_plr0_amrwb_m08,406979,940,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q35_nr999_plr1_amrwb_m08,402808,931,9,0.96,131316,2118,26,1.21
ntia_HeadShoulders-Female15_h264_720p_baseline_fps10_q35_nr999_plr5_amrwb_m08,383910,885,55,5.85,126790,2045,99,4.62
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q23_nr0_plr0.1_amrwb_m08,3548849,3529,4,0.11,132742,2141,3,0.14
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q23_nr0_plr0.5_amrwb_m08,3532180,3511,22,0.62,131998,2129,15,0.7
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q23_nr0_plr0_amrwb_m08,3551857,3533,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q23_nr0_plr1_amrwb_m08,3527528,3507,26,0.74,131750,2125,19,0.89
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q23_nr0_plr5_amrwb_m08,3342632,3333,200,5.66,126294,2037,107,4.99
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q23_nr999_plr0.1_amrwb_m08,2776671,2977,0,0.0,132680,2140,4,0.19
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q23_nr999_plr0.5_amrwb_m08,2766064,2967,10,0.34,132122,2131,13,0.61
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q23_nr999_plr0_amrwb_m08,2776671,2977,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q23_nr999_plr1_amrwb_m08,2751107,2943,34,1.14,131378,2119,25,1.17
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q23_nr999_plr5_amrwb_m08,2640742,2839,138,4.64,126232,2036,108,5.04
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q27_nr0_plr0.1_amrwb_m08,1541636,2121,0,0.0,132804,2142,2,0.09
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q27_nr0_plr0.5_amrwb_m08,1531178,2109,12,0.57,132184,2132,12,0.56
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q27_nr0_plr0_amrwb_m08,1541636,2121,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q27_nr0_plr1_amrwb_m08,1516570,2090,30,1.42,131874,2127,17,0.79
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q27_nr0_plr5_amrwb_m08,1443632,1999,122,5.75,127348,2054,89,4.15
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q27_nr999_plr0.1_amrwb_m08,1337971,1981,0,0.0,132742,2141,3,0.14
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q27_nr999_plr0.5_amrwb_m08,1337146,1979,2,0.1,132680,2140,4,0.19
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q27_nr999_plr0_amrwb_m08,1337971,1981,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q27_nr999_plr1_amrwb_m08,1324564,1960,21,1.06,132060,2130,14,0.65
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q27_nr999_plr5_amrwb_m08,1293437,1901,80,4.04,126108,2034,109,5.09
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q31_nr0_plr0.1_amrwb_m08,834275,1495,2,0.13,132866,2143,1,0.05
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q31_nr0_plr0.5_amrwb_m08,833299,1492,5,0.33,131998,2129,15,0.7
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q31_nr0_plr0_amrwb_m08,835254,1497,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q31_nr0_plr1_amrwb_m08,822223,1480,17,1.14,131812,2126,18,0.84
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q31_nr0_plr5_amrwb_m08,797731,1432,65,4.34,126232,2036,108,5.04
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q31_nr999_plr0.1_amrwb_m08,793505,1461,4,0.27,132804,2142,2,0.09
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q31_nr999_plr0.5_amrwb_m08,790266,1458,7,0.48,131874,2127,17,0.79
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q31_nr999_plr0_amrwb_m08,794409,1465,0,0.0,132928,2144,0,0.0
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q31_nr999_plr1_amrwb_m08,785323,1450,15,1.02,131812,2126,18,0.84
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q31_nr999_plr5_amrwb_m08,755481,1397,68,4.64,126480,2040,104,4.85
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q35_nr0_plr0.1_amrwb_m08,507605,1361,3,0.22,132804,2142,2,0.09
ntia_HeadShoulders-Female15_h264_720p_baseline_fps15_q35_nr0_plr0.5_amrwb_m08,506122,1360,4,0.29,132556,2138,6,0.28
